level,lessonId,title,titleEn,explanationViDraft
N2,1,A あるいは B,"Indicates alternatives; A or B, either A or B","Mẫu A あるいは B dùng để diễn tả: biểu thị các lựa chọn thay thế; sắc thái/cách dùng cần đối chiếu thêm. Cấu trúc: Phrase A + あるいは + Phrase B. Đây là ngữ pháp N2 thường gặp trong đọc hiểu và câu văn trang trọng; cần duyệt lại sắc thái, văn cảnh dùng và bản dịch ví dụ trước khi bỏ nhãn kiểm duyệt."
N2,1,A。おまけに B。,"Expresses that in addition to A, there is also B; moreover, besides, not only, but also","Mẫu A。おまけに B。 dùng để diễn tả: diễn tả sắc thái/cách dùng cần đối chiếu thêm; sắc thái/cách dùng cần đối chiếu thêm; hơn nữa; ngoài ra; không chỉ; mà còn. Cấu trúc: Sentence A + おまけに + Sentence B. Đây là ngữ pháp N2 thường gặp trong đọc hiểu và câu văn trang trọng; cần duyệt lại sắc thái, văn cảnh dùng và bản dịch ví dụ trước khi bỏ nhãn kiểm duyệt."
N2,1,A。さて B。,"Indicates a sudden change or shift in the topic or situation; now then, well, so","Mẫu A。さて B。 dùng để diễn tả: biểu thị sắc thái/cách dùng cần đối chiếu thêm; sắc thái/cách dùng cần đối chiếu thêm; tình huống; nên; vì vậy. Cấu trúc: A + さて + B. Đây là ngữ pháp N2 thường gặp trong đọc hiểu và câu văn trang trọng; cần duyệt lại sắc thái, văn cảnh dùng và bản dịch ví dụ trước khi bỏ nhãn kiểm duyệt."
N2,1,A。しかも B。,"Expressing additional information; moreover, besides, furthermore","Mẫu A。しかも B。 dùng để diễn tả: sắc thái/cách dùng cần đối chiếu thêm; hơn nữa; ngoài ra; thêm vào đó. Cấu trúc: Statement A + 。しかも + Statement B。. Đây là ngữ pháp N2 thường gặp trong đọc hiểu và câu văn trang trọng; cần duyệt lại sắc thái, văn cảnh dùng và bản dịch ví dụ trước khi bỏ nhãn kiểm duyệt."
N2,1,A。したがって B。,"Express a cause-and-effect relationship; therefore, consequently, so","Mẫu A。したがって B。 dùng để diễn tả: sắc thái/cách dùng cần đối chiếu thêm; vì vậy; do đó; nên; vì vậy. Cấu trúc: A + したがって + B. Đây là ngữ pháp N2 thường gặp trong đọc hiểu và câu văn trang trọng; cần duyệt lại sắc thái, văn cảnh dùng và bản dịch ví dụ trước khi bỏ nhãn kiểm duyệt."
N2,1,A すなわち B。,"Express that A is equivalent to B; in other words, namely, that is to say","Mẫu A すなわち B。 dùng để diễn tả: sắc thái/cách dùng cần đối chiếu thêm. Cấu trúc: Phrase A + すなわち + Phrase B. Đây là ngữ pháp N2 thường gặp trong đọc hiểu và câu văn trang trọng; cần duyệt lại sắc thái, văn cảnh dùng và bản dịch ví dụ trước khi bỏ nhãn kiểm duyệt."
N2,1,A。すると B。,"Indicates that when action A is done, action or event B follows; then, when, if","Mẫu A。すると B。 dùng để diễn tả: biểu thị sắc thái/cách dùng cần đối chiếu thêm; hành động; sắc thái/cách dùng cần đối chiếu thêm; khi; nếu. Cấu trúc: A (Sentence) + すると + B (Sentence). Đây là ngữ pháp N2 thường gặp trong đọc hiểu và câu văn trang trọng; cần duyệt lại sắc thái, văn cảnh dùng và bản dịch ví dụ trước khi bỏ nhãn kiểm duyệt."
N2,10,～だけあって,Expresses that something is as expected or deserves its reputation,"Mẫu ～だけあって dùng để diễn tả: diễn tả sắc thái/cách dùng cần đối chiếu thêm; sắc thái/cách dùng cần đối chiếu thêm. Cấu trúc: Verb-casual + だけあって, い-Adjective + だけあって, な-Adjective + なだけあって, Noun + だけあって. Đây là ngữ pháp N2 thường gặp trong đọc hiểu và câu văn trang trọng; cần duyệt lại sắc thái, văn cảnh dùng và bản dịch ví dụ trước khi bỏ nhãn kiểm duyệt."
N2,10,～だけましだ,"Expresses that although the situation isn’t ideal, it could be worse; it’s not great, but at least","Mẫu ～だけましだ dùng để diễn tả: diễn tả sắc thái/cách dùng cần đối chiếu thêm; sắc thái/cách dùng cần đối chiếu thêm. Cấu trúc: Verb-casual + だけましだ, い-Adjective + だけましだ, な-Adjective + だけましだ, Noun + だけましだ. Đây là ngữ pháp N2 thường gặp trong đọc hiểu và câu văn trang trọng; cần duyệt lại sắc thái, văn cảnh dùng và bản dịch ví dụ trước khi bỏ nhãn kiểm duyệt."
N2,10,～たところ,"Used to describe an action that has just been completed, often followed by a result or observation","Mẫu ～たところ dùng để diễn tả: sắc thái/cách dùng cần đối chiếu thêm. Cấu trúc: Verb-past + ところ. Đây là ngữ pháp N2 thường gặp trong đọc hiểu và câu văn trang trọng; cần duyệt lại sắc thái, văn cảnh dùng và bản dịch ví dụ trước khi bỏ nhãn kiểm duyệt."
